Unnamed: 0,host_response_time,host_acceptance_rate,host_is_superhost,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_scores_rating,review_scores_cleanliness,instant_bookable,reviews_per_month
3122,1,100.0,0,17,11,0,1,0,1.0,1.0,56,90,365,170,23,4.83,4.96,0,0.23
3126,1,59.0,0,24,17,0,6,0,2.0,4.0,105,28,1125,289,46,4.15,4.58,0,0.54
3127,1,0.0,0,8,19,0,5,0,3.0,3.0,200,4,1125,85,0,4.74234347618289,4.717493222771488,0,0.0
3129,2,94.0,1,18,44,2,1,0,1.0,1.0,95,2,7,325,73,4.97,4.93,0,0.74
3132,2,100.0,0,21,44,2,2,0,1.0,1.0,95,3,15,37,11,4.91,4.45,0,0.11
3136,1,74.0,1,12,15,0,2,0,1.0,1.0,155,4,21,276,61,4.9,4.85,0,0.62
3140,2,100.0,1,18,44,2,2,2,1.0,1.0,68,1,1125,2,288,4.71,4.9,1,2.91
3145,0,100.0,0,29,17,0,5,0,2.0,5.0,221,5,1125,3,29,4.69,4.71,0,0.29
3147,2,97.0,1,11,32,2,1,2,1.0,1.0,55,5,1125,18,75,4.95,4.97,0,1.19
3148,1,96.0,0,27,44,2,1,1,1.0,1.0,60,1,3,83,94,4.87,4.86,0,0.94
3150,1,90.0,1,31,38,2,1,2,1.0,1.0,35,2,10,33,82,4.83,4.76,0,0.88
3152,0,67.0,0,12,44,2,2,0,1.0,1.0,55,1,1125,132,97,4.6,4.38,0,0.97
3153,1,100.0,0,27,32,2,2,1,1.0,1.0,150,5,1125,113,30,4.97,4.97,0,0.34
3158,2,100.0,0,19,17,0,4,0,2.0,2.0,250,3,365,84,66,4.56,4.4,0,0.75
3159,2,100.0,0,29,44,2,3,1,1.0,1.0,76,5,1125,35,91,4.54,4.57,1,0.91
3162,2,0.0,0,32,32,2,1,2,1.0,1.0,65,2,10,18,158,4.91,4.95,0,1.59
3167,0,50.0,0,32,44,2,2,2,1.0,1.0,40,2,8,1,111,4.92,4.9,0,1.14
3171,1,69.0,0,5,17,0,6,0,2.0,2.0,131,4,999,90,50,4.69,4.49,0,0.77
3178,2,0.0,0,13,44,2,1,2,1.0,1.0,50,2,10,257,9,5.0,5.0,0,0.09
3179,2,100.0,1,6,17,0,3,0,1.0,1.0,98,2,30,18,201,4.89,4.85,1,2.05
3180,1,66.0,0,32,17,0,3,0,2.0,2.0,475,2,1125,146,101,4.87,4.85,0,1.03
3184,2,86.0,0,12,9,0,2,0,1.0,1.0,144,3,1125,35,3,4.67,5.0,0,1.13
3186,1,87.0,1,22,38,2,2,1,1.0,1.0,85,3,1125,176,103,4.96,4.91,0,1.05
3187,0,33.0,0,27,17,0,2,0,1.0,1.0,199,7,90,48,3,5.0,5.0,0,0.03
3191,2,94.0,0,11,38,2,2,2,1.0,1.0,46,3,60,174,94,4.66,4.61,0,0.96
3196,1,76.0,0,12,17,0,2,0,1.0,1.0,90,3,14,223,39,4.71,4.87,0,0.42
3197,2,100.0,1,12,32,2,2,1,1.0,2.0,85,2,14,4,366,4.96,4.99,0,3.7
3198,1,0.0,0,19,17,0,4,0,2.0,2.0,170,2,1125,1,93,4.82,4.9,0,0.96
3199,2,99.0,1,1,38,2,1,2,1.0,1.0,38,3,1125,113,87,4.9,4.95,0,1.01
3203,2,100.0,1,29,44,2,3,2,1.0,2.0,45,2,1125,50,311,4.92,4.79,0,3.14
3209,1,0.0,0,21,17,0,2,0,1.0,1.0,75,4,1125,0,1,5.0,5.0,0,0.02
3210,1,72.0,1,5,17,0,4,0,2.0,2.0,181,4,21,273,32,4.69,4.63,0,0.32
3214,0,60.0,0,9,48,2,1,2,1.0,1.0,27,7,1125,103,25,4.72,4.72,0,0.26
3217,2,0.0,0,18,17,0,5,0,1.0,2.0,551,3,1125,80,49,4.58,4.67,0,0.5
